,canht,lai,lai_sd
2012-03-21,0.07999999821186066,0.10000000149011612,
2012-04-18,0.30000001192092896,2.5999999046325684,1.0
2012-04-30,0.4000000059604645,,
2012-05-14,0.44999998807907104,3.5,0.5
2012-06-06,0.75,5.5,0.8999999761581421
2012-06-26,0.75,4.300000190734863,0.699999988079071
2012-07-17,0.8500000238418579,2.9000000953674316,0.8999999761581421
2012-08-07,0.800000011920929,3.200000047683716,0.5
2012-08-29,0.75,2.9000000953674316,0.30000001192092896
2012-09-07,0.05000000074505806,0.0,0.0
2012-09-18,0.05000000074505806,0.0,0.0
2012-10-15,0.05000000074505806,0.0,0.0
2013-05-07,,0.10000000149011612,
2013-05-24,0.10000000149011612,,
2013-06-11,0.18000000715255737,0.3700000047683716,0.12999999523162842
2013-06-18,0.25999999046325684,,
2013-06-25,0.4300000071525574,,
2013-07-02,0.5899999737739563,,
2013-07-09,0.75,2.1600000858306885,0.6000000238418579
2013-07-24,0.6800000071525574,,
2013-08-05,,2.0999999046325684,0.5400000214576721
2013-08-08,0.6000000238418579,,
2013-08-29,0.0,,
2013-09-13,0.009999999776482582,,
2013-09-29,0.019999999552965164,,
2013-10-06,0.03999999910593033,,
2013-10-14,0.05999999865889549,,
2013-10-21,0.07999999821186066,,
2013-10-29,0.10000000149011612,,
2014-01-01,0.10000000149011612,,
2014-02-03,,0.4000000059604645,
2014-02-18,0.14000000059604645,,
2014-03-06,0.19499999284744263,,
2014-03-24,0.25,2.4100000858306885,0.5400000214576721
2014-03-25,0.2800000011920929,,
2014-03-26,0.30000001192092896,,
2014-03-27,0.3100000023841858,,
2014-03-28,0.3199999928474426,,
2014-03-29,0.3400000035762787,,
2014-03-31,0.38999998569488525,,
2014-04-02,0.4300000071525574,,
2014-04-04,0.4300000071525574,,
2014-04-04,0.5299999713897705,,
2014-04-09,,3.259999990463257,0.8199999928474426
2014-04-10,0.550000011920929,,
2014-04-14,0.5699999928474426,,
2014-04-29,1.2300000190734863,,
2014-05-06,1.3200000524520874,4.28000020980835,0.47999998927116394
2014-05-22,1.3700000047683716,,
2014-06-03,,3.950000047683716,0.1599999964237213
2014-06-12,1.4199999570846558,,
2014-07-15,,2.509999990463257,0.18000000715255737
2014-08-20,0.05000000074505806,,
2014-12-15,0.10000000149011612,,
2015-02-19,0.10000000149011612,,
2015-04-14,0.11999999731779099,,
2015-04-24,0.3100000023841858,,
2015-04-28,,2.2200000286102295,0.7200000286102295
2015-05-15,0.49000000953674316,2.7799999713897705,0.4300000071525574
2015-05-29,0.6399999856948853,3.7899999618530273,0.46000000834465027
2015-06-22,0.8199999928474426,4.659999847412109,0.6700000166893005
2015-06-26,0.8600000143051147,4.670000076293945,0.9399999976158142
2015-07-10,0.8500000238418579,5.420000076293945,0.6600000262260437
2015-08-10,0.009999999776482582,,
2016-05-17,0.11999999731779099,,
2016-05-25,0.15000000596046448,,
2016-05-26,,0.28999999165534973,0.10999999940395355
2016-06-14,0.36000001430511475,,
2016-06-15,,2.390000104904175,0.5799999833106995
2016-07-06,0.8199999928474426,,
2016-07-07,,2.559999942779541,0.38999998569488525
2016-09-19,0.10000000149011612,,
