3  0.037 
3.7  0.043 
3.5  0.05 
4.5  0.055 
4  0.056 
4  0.06 
4.5  0.06 
5  0.062 
5.5  0.062 
6  0.062 
6  0.062 
7  0.065 
7  0.058 
8  0.062 
7.8  0.054 
8.5  0.056 
8.5  0.048 
9.5  0.052 
9.25  0.044 
10  0.045 
10  0.04 
10.5  0.036 
11   0.04 
12.5  0.034 
12  0.028 
13  0.024 
13.5  0.03 
14  0.023 
14.5  0.026 
15  0.022 
15  0.024 
16  0.021 
16  0.022 
17  0.023 
